Day fraction since midnight on 11/5/2019	7 kPa (cm)	water flow (mL/s)	coag flow (mL/s)	max x + 1 ()	max cycles ()	cycles ()
0.35775471	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	0.00000000
0.35781257	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	0.00000000
Day fraction since midnight on 11/5/2019	7 kPa (cm)	water flow (mL/s)	coag flow (mL/s)	max x + 1 ()	max cycles ()	cycles ()
0.35815984	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	0.00000000
0.35821771	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	0.00000000
0.35827557	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	0.00000000
0.35833345	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	1.00000000
0.35839132	0.00000000	0.50587310	0.00082690	6.00000000	12.00000000	3.00000000
0.35844918	0.00000000	0.50504620	0.00165380	6.00000000	12.00000000	5.00000000
0.35850706	0.00000000	0.50504620	0.00165380	6.00000000	12.00000000	6.00000000
0.35856494	0.00000000	0.50339240	0.00330760	6.00000000	12.00000000	8.00000000
0.35862281	0.00000000	0.50008480	0.00661520	6.00000000	12.00000000	10.00000000
0.35868067	0.00000000	0.49346960	0.01323040	6.00000000	12.00000000	11.00000000
0.35873854	0.00000000	0.48023920	0.02646080	6.00000000	12.00000000	13.00000000
0.35879642	0.00000000	0.48023920	0.02646080	6.00000000	12.00000000	14.00000000
0.35885440	0.00000000	0.50670000	0.00000000	6.00000000	12.00000000	0.00000000
